"variable","relative_importance","scaled_importance","percentage"
"pcseas",12.4076871871948,1,0.0805998180590583
"long",11.2255096435547,0.904722167330251,0.0729204420808151
"pdwsaetswb",9.56961822509766,0.771265271337098,0.0621638405450403
"prcpwin",9.23109245300293,0.7439817198591,0.0599647912599088
"rswbaet",7.92513036727905,0.638727447566382,0.0514813160631771
"prcpsum",7.29590797424316,0.588015144496293,0.047393913662372
"rwsaetswbs",6.9126501083374,0.557126401080735,0.0449042865630052
"temprang",6.88907384872437,0.555226267779714,0.044751136164655
"mintemp",6.83452129364014,0.550829593825802,0.0443967650439046
"pdaetswb",6.75289344787598,0.544250781470797,0.0438665139650465
"monsoon",6.55257844924927,0.528106354584097,0.0425652760953107
"mntmpwin",5.9723391532898,0.48134185389953,0.0387960658485119
"mntmpfal",5.64737272262573,0.455151120222794,0.0366850974793338
"rwsaet",5.14945125579834,0.415021041239076,0.0334506204145505
"prcpfal",4.89322423934937,0.394370374230529,0.0317861804108634
"lat",4.3966498374939,0.354348862214337,0.0285604538239099
"prcpspr",4.24395751953125,0.342042594683654,0.0275685708999507
"mxtmpsum",3.89781904220581,0.314145495723691,0.0253200697994022
"cumlswb",3.30392813682556,0.26628074088097,0.0214621792676375
"cumlcwd",3.23855710029602,0.261012149277774,0.0210375317429923
"prcpann",3.18917059898376,0.257031834448172,0.0207167190919086
"cumlpet",2.69513559341431,0.217214985577311,0.0175074883172322
"cumlws",2.49931502342224,0.201432788054298,0.0162354460683052
"mxtmpspr",2.45428061485291,0.197803230999071,0.015942904430019
"mxtmpwin",2.22756600379944,0.179531122133573,0.0144701757799045
"maxtemp",2.09624361991882,0.168947168661878,0.0136171110557404
"raetcwd",2.01720714569092,0.162577208407764,0.0131036934182154
"cumlaet",1.48595833778381,0.119761105785885,0.00965272333689399
"mxtmpfal",0.939089298248291,0.0756860875101256,0.00610028488291808
"mntmpspr",0.88476824760437,0.0713080717023139,0.00574741760534878
"rpetaet",0.643626153469086,0.0518731769876767,0.00418096862735207
"mntmpsu",0.469553232192993,0.0378437355091921,0.00305019819671601
